dec,0.018737943340745,0.17772939258697,0.23414788232913,0.56938478174315
delici,0.0005,0.0005,1,0.0005
deliv,0.0005,0.0005,0.041914176646994,0.95808582335301
deliveri,0.0005,0.0005,0.13656534511136,0.86343465488864
deposit,0.0005,0.79210417988588,0.17889429407711,0.029001526037012
detail,0.04332958695689,0.034248427690508,0.25783007044297,0.66459191490963
dial,0.00885092476807,0.0005,0.71451413049004,0.27663494474189
did,0.80505536512768,0.0005,0.112716069647,0.082228565225318
didnt,1,0.0005,0.0005,0.0005
discount,0.0005,0.33306811998481,0.60595831113925,0.060973568875938
dl,0.20628083828985,0.65219125039308,0.081830771692984,0.059697139624081
do,0.23715681318978,0.0005,0.045522167262418,0.7173210195478
domino,0.04302736061371,0.0005,0.84490458023177,0.11206805915452
donald,0.0005,1,0.0005,0.0005
done,0.27675213112908,0.39374909456391,0.041169917875774,0.28832885643124
dont,0.52906143800708,0.0005,0.042929289433362,0.42800927255956
doorstep,0.0005,0.0005,1,0.0005
doubl,0.0005,0.0005,1,0.0005
down,0.70838787427827,0.0005,0.16860875752897,0.12300336819276
download,0.0005,0.12039320702306,0.64451403174199,0.23509276123495
dr,0.0005,0.75316206146152,0.062999754200044,0.18383818433843
draw,0.0005,0.0005,0.092178535268309,0.90782146473169
driver,0.015455967825295,0.0005,0.018393959199864,0.96615007297484
drop,0.93798424270162,0.0005,0.062015757298375,0.0005
dude,1,0.0005,0.0005,0.0005
due,0.10430355307499,0.18549735017179,0.031032597268389,0.67916649948483
e,0.094569965671162,0.37374838516291,0.093788804306877,0.43789284485906
eat,0.5189871409145,0.17580689398479,0.17646865142764,0.12873731367307
electr,0.0005,0.6094839609484,0.0005,0.3905160390516
electron,0.0005,0.57500411359125,0.1442921238623,0.28070376254645
elig,0.028741790265531,0.95415558233995,0.017102627394514,0.0005
email,0.093361421989491,0.0005,0.055554146020723,0.85108443198979
emerg,0.0005,0.34697431432303,0.65302568567697,0.0005
emh,0.0005,1,0.0005,0.0005
empir,0.0005,1,0.0005,0.0005
end,0.0097441018464979,0.68161819435349,0.04638534806225,0.26225235573776
enjoi,0.0080702106715724,0.038272974109932,0.88359187405615,0.070064941162347
enter,0.040914538236836,0.0005,0.0005,0.95908546176316
eod,0.0005,1,0.0005,0.0005
even,0.87050310601406,0.0005,0.12949689398594,0.0005
everi,0.070039758152754,0.24912266477958,0.43760568468181,0.24323189238586
excit,0.0005,0.78244508895174,0.1501481460827,0.067406764965556
exclus,0.0005,0.0005,1,0.0005
expect,0.081390151232958,0.0005,0.0005,0.91860984876704
experi,0.042559851053755,0.20184009362243,0.60779952910143,0.14780052622238
expir,0.0005,0.0005,0.06841023179119,0.93158976820881
extra,0.0005,0.0005,0.93727002617028,0.062729973829716
facebook,0.0005,0.0005,0.13656534511136,0.86343465488864
failur,0.0005,1,0.0005,0.0005
fast,0.79084895259096,0.0005,0.20915104740904,0.0005
fc,0.0005,0.68975995278669,0.057696357405829,0.25254368980748
feb,0.0005,0.64773249272371,0.16254265814899,0.18972484912731
feel,0.84363769496145,0.0005,0.079263391039186,0.077098913999367
fill,0.0005,0.88851727982163,0.11148272017837,0.0005
fine,0.95922972769671,0.0005,0.040770272303295,0.0005
first,0.23585951665038,0.30115178092311,0.22671401324199,0.23627468918453
flat,0.13216238261427,0.13928446656627,0.69030570004611,0.038247450773345
floor,1,0.0005,0.0005,0.0005
food,0.10462146248734,0.56704832668141,0.30237834233325,0.025951868498005
foodpanda,0.0005,0.38723058569688,0.51825088842745,0.094518525875669
for,0.044835330589047,0.47658796881745,0.23428446943765,0.24429223115585
frch,0.0005,0.71024935304702,0.02970511723325,0.26004552971973
free,0.049312202112816,0.019488593210002,0.78492326479433,0.14627593988286
freecharg,0.0005,0.43936696338087,0.21092298716664,0.34971004945249
freshmenu,0.0005,0.26438761678501,0.15480663467127,0.58080574854372
friend,0.063123118072413,0.0005,0.52585438198468,0.41102249994291
from,0.066165659853684,0.34231706384301,0.17896124207602,0.41255603422728
full,0.021855439385593,0.0005,0.84532150358864,0.13282305702576
fun,0.93076895003832,0.0005,0.06923104996168,0.0005
fund,0.0005,0.95221027479092,0.04778972520908,0.0005
futur,0.0005,0.0005,0.0005,1
g,0.0082833186279437,0.0005,0.76398544315163,0.22773123822042
gb,0.004828812326615,0.0005,0.92809379099722,0.067077396676164
get,0.066395762629205,0.044406422396911,0.79016789026099,0.099029924712895
give,0.13087076745339,0.0005,0.4828178934524,0.38631133909421
gl,0.0094902518721737,0.11251879875946,0.67200687841283,0.20598407095553
go,0.7697919495028,0.0005,0.15040776615924,0.079800284337952
gone,0.024206481285364,0.97579351871464,0.0005,0.0005
gonna,1,0.0005,0.0005,0.0005
goo,0.0005,0.070999467470188,0.80768946682941,0.1213110657004
good,0.6797355333468,0.0005,0.20223624635491,0.1180282202983
goodbox,0.0005,0.72652689152233,0.27347310847767,0.0005
got,0.88482588143458,0.0005,0.11517411856542,0.0005
gr,0.081390151232958,0.0005,0.0005,0.91860984876704
